"","job_title","company_name","job_location","job_description"
"1","Data Scientist","Pointman","Buffalo, NY 14203","$65,000 - $75,000 a yearPointman provides business solutions for frictionless operations management and growth for residential HVAC, plumbing and electrical contractors. We provide this service through a system we call PACT. Pointman PACT members receive dedicated support for managing their business by providing four elements of support: Process, Analytics, Community, and Technology.We're looking for a Data Scientist with a passion for conducting the statistical analyses necessary to diagnose and direct the business activities of Pointman PACT members.As a Data Scientist, you'll be working closely with our Success Coaches, marketing and sales teams, and PACT members to ensure that we deliver the highest quality directives based on our member's business data. This role is vital to the success of every PACT member we provide services and support to. The Data Scientist will establish our Analytics team and launch our effort to build a data-centric culture.Pointman wants to create an in-house analytics team that leverages industry and member-driven data to empower business decisions and deliver critical insights, metrics, and tools that continually improve upon our ability to provide actionable guidance to our members. We want to answer questions like:What business decisions drive the best outcomes?Why do users conduct activities in a particular sequence and does it matter?What underlying trends exist that will impact the industry in the next 12-36 months?Is there a clear set of behaviors that make a company great?What drives member engagement?and of course...What's next?We're on a mission to build a world where people love their contractors! If you have the skills and passion for providing data analysis to drive that mission, then we want you to be our next Data Scientist!Data Scientist ResponsibilitiesDevelop a comprehensive understanding of Pointman data structures and metricsResearch and develop analysis, forecasting, and optimization methods to improve the quality of Pointman productWork with large and complex data sets to solve difficult, non-routine analysis problems, applying advanced analytical methods as needed.Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, producing and presenting ongoing deliverables.Build and prototype analysis pipelines to provide statistical insights at scaleDevelop compelling visual displays of quantitative analytics for client facing presentationMake business recommendations (e.g. cost-benefit, forecasting, experiment analysis, etc) through effective presentations of findings to multiple levels of stakeholdersWork closely with our engineers to design, assess, and identify opportunities for improvements to Pointman productsAdvocate for changes as needed for both product development and sales activityThese are the requirements our Data Scientist must have: A Bachelor's degree in statistics, data management, quantitative analysis, or related field; Advanced degree strongly preferred5+ years of experience with database management, operations, and statistical analysisDemonstrated proficiency in one or more statistical analysis tools such as Tableau, MATLAB, Stata, Alteryx, or similarDedication to ethical reporting of business and financial dataProven ability to work independently and manage multiple tasks efficiently and effectivelyAn interest in working as a member of a dynamic team of engineers, analysts, and advisorsGenuine care and concern for the welfare of our members and their customersWhy Pointman?Nothing feels better than knowing you’ve been a part of something meaningful for our members, for their families, and for their clients. When we’re at our best, we help change the lives and livelihood for some of the hardest working people in the country.Pointman believes that Main Street business and entrepreneurs are the heartbeatof our economy. Having started and run several service businesses ourselves, understanding the risks and rewards of succeeding in small business is part of our DNA here at Pointman. Working here is about helping others “make it.” It’s not just about building apps and going paperless; it’s about being part of a movement to help Main Street succeed again. It’s about standing up for the underdog. It’s about having the courage to put yourself out there to say, “I’m here to help” and then delivering on that promise.As we grow our team, it’s essential that our why resonates with you. At times, we’ll ask a lot of you, and it’s important to know why we do what we do. We also believe firmly in taking good care of our people. We believe in healthy work-life balance and in creating an environment that allows everyone to achieve autonomy, mastery, and purpose in their roles here at Pointman.Our offices are in the Brisbane Building in the heart of downtown Buffalo, and we offer some of the best perks in town, including:near unlimited snacks and drinks in our huge kitchena small office gym (w/ showers and lockers)lots of unique working, relaxing, eating, and creative spaceslots of amazingly cool and hardworking peopleteam outings, happy hours, and moreIn addition to competitive salary, Pointman offers paid vacation and personal time, generous parental leave policy, access to healthcare, dental, and visioncoverage for employees and their families, retirement account (401K) with employer matching, and MORE.If you're interested in becoming a member of the Pointman team and think you'd be a good fit for the Data Scientist position, we look forward to reviewing your application!Job Type: Full-timeSalary: $65,000.00 to $75,000.00 /yearExperience:database management, operations, and statistical analysis: 5 years (Preferred)Education:Bachelor's (Required)Location:Buffalo, NY 14203 (Required)"
"2","Data Scientist","Vermont Mutual Insurance","Montpelier, VT","Not just another job, but an opportunity to work for one of the best insurance companies in the country and reap the rewards that go along with that level of success. We’re a 190 year old company that works hard not to act our age; as a result, we have been recognized as one of the “Best Places to Work in Vermont”. An open and collaborative environment, coupled with exceptional compensation and benefits help to make us one of the most attractive employment opportunities in the country.

We are looking for an experienced professional in mathematics, computer science, statistics, or other related field to research and shape technology and data driven innovation across our company. The ideal Data Scientist has hands-on experience developing data science solutions, ability to communicate effectively with non-technical stakeholders, has experience with coding languages, and understanding of advanced statistical models, predictive analysis, and machine learning techniques.

If you have qualifications that you feel would allow you to contribute to the continued success of Vermont Mutual, we’d love to hear from you."
"3","Data Scientist","PRA Group, Inc.","Norfolk, VA","The Data Scientist role will be responsible for turning data into actionable insight to improve operational efficiency and effectiveness, make pricing decisions, improve customer experience that will include but not limited to performance evaluations and financial projections. Data scientist use their analytics skills to help design and implement core components of algorithms and models. They focus in applying machine learning techniques to build high quality intelligent systems integrated with our products.Solve business problems by leveraging advanced artificial intelligence and machine learning approaches.Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits.Work within the Machine Learning Team to design, code, train, test, deploy and iterate on large scale machine learning systemsDevelop processes and tools to monitor and analyze model’s performance and monitor outcomesWork with cross-functional teams to explore new ways of finding insights from data and provide recommendationsIdentify opportunities for new growth and efficiency based on data analysesRequirements: MS in Computer Science or related field with research in machine learning2+ years of experience building machine learning or AI systemsStrong knowledge and demonstrated experience of artificial intelligence, machine learning, self-learning systems and deep learning with proven track record of innovation solving business and real problems, including mastering the mathematical underpinnings of these methodsStrong analytical and problem-solving skillsSolid software engineering skills across multiple languages including but not limited to Python, C/C++Experience with machine learning software packages and deep learning tools and packages (e.g., scikit-learn, TensorFlow, Caffe, Theano, Torch)Experience working with finance industry.Desired Qualifications: Ph.D. in Computer Science or related field with research in machine learningExperience with one or more of the following: natural language processing, deep learning, Bayesian reasoning, recommendation systems, learning for search, speech processing, learning from semi structured data, reinforcement or active learning, ML software systems, machine learning on mobile devicesJob Type: Full-timeExperience:Artificial Intelligence: 2 years (Required)Machine Learning: 2 years (Required)Education:Doctorate (Preferred)"
"4","Data Scientist (Data Startup)","Averity","New York, NY","$130,000 - $150,000 a yearAre you looking to apply your Data Science skills to a fast-growing startup specializing in providing our clients with bleeding-edge solutions? We are looking for someone to join our team and help take us to the next level of growth.What's the Job?You will be developing and engineering production-level AI solutions that are used by some of the largest companies in the world, especially in the financial services sector.You will be leveraging alternative data including such as online search, financial time-series, and credit card transactionsYou will be interfacing with our clients to help them solve business problemsWho Are We?We are one of the fastest growing startups in the data space. We use sophisticated machine learning and AI for data extraction to provide predictive analytics and market insight to our client base.What Skills Do We Need?Experience using alternative data in a production environment is an absolute must haveIt would be great if you had experience using alternative data such as online search, financial time-series, and credit card transactionsWe are open with tech stack, but the most successful candidates are proficient in PythonExposure or experience machine learning/deep learningSalary$130,000 - $150,000What's In It For You?We are growing quickly and need the brainpower and curiosity of great Data Scientists to help us grow. You will be joining an organization working with great companies and tackling real-world, challenging problems.Job Type: Full-timeSalary: $130,000.00 to $150,000.00 /year"
"5","Data Scientist","Leidos","McLean, VA","Job Description:
Leidos has a need for an analyst or data scientist with experience in training for a project located in Mclean, VA.
In this role, candidate will work at a customer site to provide intelligence support for analytic methodologist customers across regional domains to include analysis and research for industry, infrastructure, technology, biographic, and targeted vulnerability. Provides support to analysis of social networks on an ad hoc basis as directed. The ideal candidate is able to make sense of large datasets in support of network and geospatial analysis.
20% of the candidate's time will also be dedicated to supporting and instructing an introduction and advanced social network analysis class.Work on quantitative analysis projectsSupport the development of new methodologiesSupport the development of customer's analytics codebaseTrain customer in use of social network analysis methodologiesBachelor's Degree and 8 years' experience
Experience with Python, R, or other programming languages
Familiarity with relational data and quantitative analysis thereof
Strong basic computer skills (Microsoft office, specifically excel)
Strong presentation skills and ability to interact positively with students in a learning environment
Strong organizational skills
Experience with Github
Experience with network analysis tools such as Analyst's Notebook, Renoir, ORA, or UCINET
Experience with Social Network Analysis and/or Geospatial Analysis"
"6","Data Scientist I","Grubhub","New York, NY","Part-timeAbout The Opportunity
Here at Grubhub we’ve been dedicated to giving diners the most convenient way to order food from their favorite restaurants (whether that’s a late night Chalupa from Taco Bell or a salad for lunch from a local restaurant the day after they enjoyed said late night Chalupa).While we are food-obsessed, we are also customer-obsessed. We look to constantly innovate our technology so our diners’ food experience is memorable, restaurant owners get more business and individuals across the country looking for part-time work can deliver the food from the restaurant to the diner flawlessly. We take great pride in knowing that we are a part of 17+ million diners food ordering experience and we are partnered with 105,000 restaurants in 2,000 US cities across our suite of apps (Grubhub, LevelUp, Seamless, Tapingo, Eat24).
Want to be a part of the biggest movement in the US that is moving eating forward? If so, we want to talk to you - and hear what’s your favorite restaurant for food delivery!
Some Challenges You’ll Tackle
Understand the business! Work directly with stakeholders to address their needs.
Build models, from selecting features to optimizing.
Be a stakeholder for our models! Help guide and prioritize development of predictive models to enhance our capabilities.
Question our assumptions! Find new and better ways to do what we’re doing.
Produce novel analysis giving insights into the business
Relentlessly analyze and improve the performance of our business.You Should Have
1 - 3 years of experience applying descriptive statistics, machine learning, building predictive models and visualization to solve real-world problems
MSc or PhD in in statistics, mathematics, computer science or another quantitative field
Comfort communicating analytical findings to people of diverse backgrounds using statistical libraries and visualization tools in Python
Excellent programming skills in Python
Data querying capabilities using SQL
Ability to explain technical concepts in simple terms to business stakeholders
Got These? Even Better
Experience deploying regression, GLM, tree-based and Bayesian models with Python in a production environment
Experience with distributed data and computing tools like Spark, Hive and Presto
Experience using cloud infrastructure like AWS
A knack for analyzing and improving processes using dataAnd Of Course, Perks!
Flexible PTO. It’s true, no strings attached and all the time you need to recharge.
PTO. It’s true, we provide you a generous amount of time to recharge.
Better Benefits. Get quality insurance, flex-spending accounts, retirement options and commuter perks.
Free Food. Kitchens are stocked and free Grubhub each week.
Stock Up. All of our employees are owners, in fact, they’re granted Restricted Stock Units, which means we’re all in it to win it.
Casual Culture. Catch rays on the rooftop or get comfy on a couch and get to know your coworkers — because work, should be a place you want to be.
Grubhub is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics. The EEO is the Law poster is available here: DOL Poster. If you are applying for a job in the U.S. and need a reasonable accommodation for any part of the employment process, please send an e-mail to talentacquisition@grubhub.com and let us know the nature of your request and contact information. Please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this e-mail address."
"7","Research Analyst, People Analytics","Google","New York, NY 10011 (Chelsea area)","Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; San Francisco, CA, USA; Boulder, CO, USA; New York, NY, USA; Chicago, IL, USA
Minimum qualifications:
Bachelor's degree in Statistics, Economics, Psychology, Sociology, a related quantitative field or equivalent practical experience.

Experience working with and manipulating data from businesses (e.g., checking for data issues, cleaning, merging).

Experience using business data to conduct statistical analyses and test hypothesis (e.g., correlation, regression, factor analysis, t-test, ANOVA, HLM, etc.).
Preferred qualifications:
Experience using R, SPSS, STATA, and/or other languages to conduct statistical analyses.
Experience using SQL to clean data.
Experience managing complex projects with multiple stakeholders.
Experience working with diversity-related data.
Ability to creatively solve problems in a fast-paced, changing environment.
Demonstrated internal consulting, client management, and project management skills. About the job
At Google, data drives all of our decision-making, and our HR organization is no exception. The People Analytics team acts as an internal innovation lab, using analytical approaches to make sure Google continues to be a great place to work. The team provides critical support to the business around issues of organizational health and is responsible for not just taking the pulse of our Googlers, but harnessing Googler feedback to drive change for the better. As an analyst you'll be detail-oriented and conscientious, analytical and curious. You're a strong problem-solver, who uses both quantitative and qualitative methods to get things done. And on top of it all, you're someone who wonders ""What if?"" and then seeks out the solution.

We are a group of social scientists, with research backgrounds, who conduct experimental, survey, and archival research to inform people-related business decisions.

In this role, you'll work as a quantitative analyst to help contribute to Google-wide research and analysis efforts supporting people processes.
Great just isn't good enough for our People Operations team (you probably know us better as ""Human Resources""). Made up of equal parts HR professionals, former consultants and analysts, we're the advocates of Google's colorful culture. In People Ops, we ""find them, grow them, and keep them""- we bring the world's most innovative people to Google and provide the programs that help them thrive. Whether recruiting the next great Googler, refining our core programs, developing talent or simply looking for ways to inject some more fun into the lives of our Googlers, we bring a data-driven approach that is reinventing the human resources field. Responsibilities
Manipulate datasets and conduct statistical analysis (e.g., correlation, regression, factor analysis, t-test, ANOVA, HLM, etc.) using survey and archival data, with analyses conducted in R.
Communicate findings and recommendations to influence leaders to take action on the results.
Build relationships and collaborate with teammates, business leaders, and HR clients to solve organizational problems.
Be productive in an ambiguous, changing work environment (e.g., create structure, apply project management skills, develop and stick to deadlines). At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form ."
"8","Junior Data Scientist","1-800-Flowers.com","New York, NY","Description As part of the NYC Innovation Team located in vibrant startup community Galvanize located in West Soho in Manhattan, this Junior Data Scientist will be joining a multi-versed team that demonstrates code proficiency and product ownership.
The NYC Innovation Team consists of react developers, mobile and UX developers, and cloud engineers. The team spans multiple brands as part of 1-800-Flowers and aims to provide value and innovation to new and ongoing projects alike.
As Junior Data Scientist, you will be responsible for collecting, cleaning, and extracting data from a variety of systems at 1-800-flowers with intention to run analysis on in order to provide insights to various business groups. Developing scripts and tools to provide artificial intelligence to data of different types will be asked of. You will also assist in creating best practices for the next stage of artificial intelligence in ecommerce from a data science point of view. Working across functional teams and providing insights into how to better market, sell, and retain customers will be a constant goal for this role.

Requirements .
About Us 1-800-FLOWERS.COM, Inc. is a leading provider of gifts for all celebratory occasions. For the past 40 years, 1-800-Flowers.com® has been helping deliver smiles to customers with a 100% Smile Guarantee® backing every gift. The 1-800-FLOWERS.COM, Inc. family of brands also includes everyday gifting and entertaining products from Harry & David®, The Popcorn Factory®, Cheryl's Cookies®, 1-800-Baskets.com®, Wolferman's®, Moose Munch® premium popcorn, Personalization Universe®, Simply ChocolateSM, and FruitBouquets.com SM. The Company also offers top-quality steaks and chops from Stock Yards® and gift baskets and towers from its DesignPac Gifts, LLC division. Loyalty programs, such as Celebrations Passport®, Celebrations Rewards® and Celebrations Reminders® are designed to deepen relationships with customers across all brands. The Company's BloomNet® international floral wire service and Napco SM floral gifts and seasonal décor division provide a broad-range of products and services designed to help professional florists grow their businesses profitably. 1-800-FLOWERS.COM, Inc. was named to the Stores® 2017 Hot 100 Retailers List by the National Retail Federation and also received the Gold award in the ""Best Artificial Intelligence"" category at the Data & Marketing Association's 2017 International ECHO Awards. Shares in 1-800-FLOWERS.COM, Inc. are traded on the NASDAQ Global Select Market, ticker symbol: FLWS."
"9","Data Analyst - User Research","IBM","New York, NY 10002 (Lower East Side area)","Job DescriptionWe are looking for a Data Analyst to join the User Research and Analytics team in the IBM CIO organization. As a Data Analyst you will be responsible for instrumenting data collection and analysis methodologies to track the adoption and usage of IBM’s suite of internal applications used by IBM employees world-wide. In addition to analyzing behavioral and attitudinal user experience metrics, you will extract actionable insights that will be used to discover opportunities to improve the quality of the user experience and increase employee adoption and engagement.
You will be experienced in applying statistical methods such as Cluster Analysis and Classification, Regression Models) to infer and predict user intent from measurable behavior.Key Responsibilities:
You will analyze large data sets of quantitative and qualitative data to extract actionable insights and create predictive models
Extract, compile, and validate data, conducting analysis using standard analytic and/or data science tools and techniques
Work with stakeholders including the Executive, Project, and Design teams to assist with data-related technical issues and support their data needs.
Maintain automated reports and dashboards
You will create innovative, long-term automated solutions
Communicate findings in a clear, concise, and visual (as appropriate) manner to our key stakeholder project teams, and drive meaningful action based on those findings
You will work cross-functionally with Design Researchers, Visual / Interaction / Content Designers, Program Managers and Software Engineers
IBM will not be providing visa sponsorship for these positions now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.
The Office of the Chief Information Officer (CIO) owns IBM’s IT strategy and provides the tools, workstations, devices, and infrastructure that IBMers use to do their jobs every day. Put simply, our mission is to create a productive environment for IBM's 365,000 worldwide employees. Join us as we lead with design to drive simplicity and ease of use, engineering the systems that run the business, and innovating to transform the business.
CIODEM19
Required Technical and Professional Expertise3+ years experience with performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement
Strong analytic skills related to working with unstructured datasets
Experience supporting and working with cross-functional teams
Strong analytical abilities and problem-solving skills and an informed, evidence-based approach
Experience with statistical analysis software and tools: such as SPSS, SAS
Bachelor Degree in Statistics, Psychology, Operations Research/Mathematical Optimization, Mathematics, Physics or another quantitative field.
Preferred Tech and Prof Experience5+ years manipulating, processing and extracting value from large disconnected datasets
Experience in an Agile environment
Experience with relational SQL and NoSQL databases
Expert in SPSS Statistics and SPSS Modeler
Experience using data presentation software/tools: Tableau, Excel Database administration, management
Data modeling skills
Master's or Ph.D. degree in Statistics, Psychology, Operations Research/Mathematical Optimization, Mathematics, Physics or another quantitative field.
EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
"10","Data Scientist - Trello (Remote)","Atlassian","New York, NY","Millions of people use Trello every day, generating billions of data points. We are looking for a savvy data scientist to examine user behavior and inform decision-making across the company. Our data team is lean, nimble, and remote-friendly.
As the ideal data scientist, you are someone who can do a deep technical dive and communicate effectively with others. You love wrangling messy data into an elegant solution, and helping others understand the power of their data. This role is a chance to have a huge impact on how millions of users collaborate.
You will...
Partner with cross-functional teams focused on product improvements to Trello.
Dive deep into a wide range of data (behavioral, financial, etc.) to identify opportunities and recommend solutions.
Contribute to data team initiatives focused on ensuring fast, reliable, and comprehensive data.
Serve as a trusted consultant and promote data literacy across the company .
Work with Redshift, Python, R, JavaScript/CoffeeScript, and MongoDB to unblock data questions. Experience in all of these isn’t a requirement for applying (ok experience in SQL and Python/R are required), but you’ll get exposure to these on the job.
Do your best work in a fun, respectful, and supportive environment
About you...
You have experience analyzing data in a business setting. You know how to pick the right approach for a question, from statistical models to A/B tests to data visualizations. You know that sometimes the simplest solution is the best.
You are creative and resourceful, with a passion for deriving insights from data and telling a story.
You’re great at collaborating with non-technical consumers of data.
You’re curious about the business side of Trello. You’re eager to get to the guts of Trello’s data in order to answer questions across the company.
You’re self-motivated and thrive when working autonomously. You know when to run with something, and when to ask for help.
You’re extremely proficient when it comes to writing SQL and Python/R, and you know how to write code to answer complicated questions and expose useful data.
You strive to master any technology or language that is needed or useful.
You’re a fast learner, adept at prioritizing, and can bring good opinions to the table.
Bonus points if…
You have experience working remotely (if you’re applying to work remotely); and
You have worked with some seriously huge datasets.
More about our benefits
Whether you work in an office or a distributed team, Atlassian is highly collaborative and yes, fun! To support you at work (and play) we offer some fantastic perks: ample time off to relax and recharge, flexible working options, five paid volunteer days a year for your favourite cause, an annual allowance to support your learning & growth, unique ShipIt days, a company paid trip after five years and lots more.
More about Atlassian
Software is changing the world, and we’re at the center of it all. With a customer list that reads like a who's who in tech, and a highly disruptive business model, we’re advancing the art of team collaboration with products like Jira Software, Confluence, Bitbucket, and Trello. Driven by honest values, an amazing culture, and consistent revenue growth, we’re out to unleash the potential of every team. From Amsterdam and Austin to Sydney and San Francisco, we’re looking for people who are powered by passion and eager to do the best work of their lives in a highly autonomous yet collaborative, no B.S. environment.
Additional Information
We believe that the unique contributions of all Atlassians is the driver of our success. To make sure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status.
All your information will be kept confidential according to EEO guidelines."
