,City,Title,Company,Location,Summary,Salary,Description
1,New+York,Data Scientist,Ascensia Diabetes Care,Nothing_found,"Experience in and understanding of data and information management, especially in Big Data trends. Responsibilities include analyses of various data streams,...","Ascensia Diabetes Care


30 reviews","Ascensia Diabetes Care is a global specialist diabetes care company, dedicated to helping people living with diabetes. Our mission is to empower people living with diabetes through innovative solutions that simplify and improve their lives. We use our innovation and specialist expertise in diabetes to develop high quality solutions and tools that make a positive, daily difference for people with diabetes.
POSITION PURPOSE: The ideal candidate will be intricately involved in running analytical experiments in a methodical manner and will regularly evaluate alternate models via theoretical approaches. Responsibilities include analyses of various data streams, utilization of large data sets to determine unique insights to further business needs. This includes finding innovative ways to combine fields of data that don’t naturally mesh together as well as exploratory data analysis in order to navigate a dataset and come out with conclusions based on certain assumptions. Creation of meaningful data visualizations that communicates findings and relate them back to how your insights create business impact.

Work autonomously and be comfortable building projects from start to finish. Position participates in projects and makes proposals for new and innovative projects within the R&D environment. Uses expertise gained through a wide exposure of previous assignments and by focusing on areas for planning, scheduling, organizing, performance management, financial management and administrative skills.

MAJOR TASKS AND RESPONSIBILITIES OF POSITION:

Research and develop statistical learning models for data analysisAnalyze business needs and produce results that meet strategic objectivesOptimize information architecture to promote usability, while accommodating technical needs/constraints.Understands and ensures strict compliance to applicable processes; collaborates to ensure cross-functional process requirements e.g., regulatory are met.Collaborate with product management and engineering departments to understand company needs and devise possible solutionsPossess ability to present, interpret, and recommend to senior management the results of work including the development including the development of new concepts, major advances in technology, new major applications, and progress on all product programs.Keep up-to-date with latest technology trends.Implement new statistical or other mathematical methodologies as needed for specific models or analysis.
QUALIFICATIONS:

Experience in a fast-paced software development environment, and an ability to execute against aggressive timelinesProven ability to influence cross-functional teams without formal authorityHighly creative and inquisitive; able to multitask effectivelyDeep knowledge of statistical tests, distributions, maximum likelihood estimatorsSound experience with Python and/or RExperience with statistical programming languages and a database querying language like SQL.Experience with machine learning methods like k-nearest neighbors, random forests, ensemble methods and more.Data-driven problem-solverDegree in Computer Science, Engineering, Statistics, Technical Science or 4+ years of IT/Programming experienceExperience in and understanding of data and information management, especially in Big Data trendsHealth care industry experience is a plusExperience with development in regulated environment is a plusExperience with medical devices or software is a plusMS: 4 years of experienceBS: 6 years of experience
IND123
YOUR APPLICATION:
Ascensia offers a wide variety of competitive compensation and benefits programs. If you meet the requirements of this unique opportunity, and are driven by innovation and the desire to improve the lives of our patients, we encourage you to apply now. Job postings will remain open for a minimum of five business days and are subject to immediate closure thereafter without additional notice.
TO ALL RECRUITMENT AGENCIES:
Ascensia does not accept unsolicited third party resumes.
Ascensia is an Equal Opportunity Employer."
12,New+York,"Staff Data Scientist - Technology - New York, NY",Finra,Nothing_found,Collaborate with Data Engineers to specify Data Framework features. A Staff Data Scientist for Market Regulation Technology will support the establishment of...,"Finra


87 reviews","We Work to Protect Investors. Join our Team.

The Financial Industry Regulatory Authority (FINRA) is seeking a well-qualified individual for our Staff Data Scientist opening in New York, NY. To be considered for this position, please submit your resume through our career site at www.finra.org/careers – no phone calls, please.

Job Summary:

A Staff Data Scientist for Market Regulation Technology will support the establishment of data science and machine learning best practices as FINRA moves to machine learning (ML)-based pattern development. . Build tools based on needs identified during research phase and interaction with FINRA clients.
Essential Job Functions:

Participate in the development of the ML Framework within the Dynamic Surveillance Platform
Serve as a quantitative research analyst working with multiple FINRA businesses to build the ML Framework
Collaborate with Data Engineers to specify Data Framework features
Analyze experimental data with statistical rigor. Ensure accurate interpretation by combining business acumen with detailed data knowledge and statistical expertise
Build machine learning based surveillance models to monitor markets and protect investors
Clearly communicate analytic insights as concrete, actionable recommendations for new models
Enable independent interpretation of results through education, improved tools, and data visualization
Qualifications

Education/Experience Requirements:

Bachelor’s or Master’s degree in Engineering, Statistics, Mathematics, Sociology, Econometrics, or related field.
1-3 years’ relevant experience applying analytics to drive business impact.
Strong coding skills in Scala, R or Python.
Strong background in machine learning and knowledge of advanced statistical methods and predictive modeling.
Solid statistical knowledge and intuition, ideally utilized in experimentation and modeling.
Strong algorithmic thinking and independent research ability.
Exceptional interpersonal and communication skills.
Must be able to translate business objectives into actionable analyses, and analytic results into actionable business and product recommendations.
Impactful presentation skills, including the use of meaningful charts, graphs, or other data visualizations to convey information and results clearly and concisely.
Working Conditions:
Work is normally performed in an office environment.
Occasional travel and extended hours may be required.
The information provided above has been designed to indicate the general nature and level of work of the position. It is not a comprehensive inventory of all duties, responsibilities and qualifications required.

Please note: If the “Apply Now” button on a job board posting does not take you directly to the FINRA Careers site, enter www.finra.org/careers into your browser to reach our site directly.

FINRA strives to make our career site accessible to all users. If you need a disability-related accommodation for completing the application process, please contact FINRA’s accommodation help line at 240.386.4865. Please note that this number is exclusively for inquiries regarding application accommodations.

In addition to a competitive salary, comprehensive health and welfare benefits, and incentive compensation, FINRA offers immediate participation and vesting in a 401(k) plan with company match. You will also be eligible for participation in an additional FINRA-funded retirement contribution, our tuition reimbursement program and many other benefits. If you would like to contribute to our important mission and work collegially in a professional organization that values intelligence, integrity and initiative, consider a career with FINRA.

Important Information

FINRA’s Code of Conduct imposes restrictions on employees’ investments and requires financial disclosures that are uniquely related to our role as a securities regulator. FINRA employees are required to disclose to FINRA all brokerage accounts that they maintain, and those in which they control trading or have a financial interest (including any trust account of which they are a trustee or beneficiary and all accounts of a spouse, domestic partner or minor child who lives with the employee) and to authorize their broker-dealers to provide FINRA with duplicate statements for all of those accounts. All of those accounts are subject to the Code’s investment and securities account restrictions, and new employees must comply with those investment restrictions—including disposing of any security issued by a company on FINRA’s Prohibited Company List or obtaining a written waiver from their Executive Vice President—by the date they begin employment with FINRA. Employees may only maintain securities accounts that must be disclosed to FINRA at one or more securities firms that provide an electronic feed (e-feed) of data to FINRA, and must move securities accounts from other securities firms to a firm that provides an e-feed within three months of beginning employment.

As standard practice, employees must also execute FINRA’s Employee Confidentiality and Invention Assignment Agreement without qualification or modification and comply with the company’s policy on nepotism.

About FINRA

FINRA is an independent, non-governmental regulator for all securities firms doing business with the public in the United States. FINRA works to protect investors and maintain market integrity in a public-private partnership with the Securities and Exchange Commission (SEC), while also benefiting from the SEC’s oversight. In its role as investor guardian, FINRA is informed, but not influenced, by the industry that it regulates. FINRA’s independent regulation plays a critical role in America’s financial system–all at no cost to taxpayers.

FINRA touches virtually every aspect of the securities business—from registering and educating industry participants to examining securities firms; writing rules; enforcing those rules and the federal securities laws; informing and educating the investing public; providing trade reporting and other industry utilities; and administering the largest dispute resolution forum for investors and registered firms. FINRA uses technology powerful enough to look across markets and detect potential abuses. Using a variety of data gathering techniques, we work to detect insider trading and any strategies firms or individuals use to gain an unfair advantage.
In today's fast-paced and complex global economy, FINRA is a trusted advocate for investors, dedicated to keeping the markets fair and proactively addressing emerging regulatory issues before they harm investors or the markets. FINRA operates from Washington, DC, and New York, NY, with other offices around the country.

Find out more about us and how we work—and view our current openings—at www.finra.org/careers.

Search Firm Representatives

Please be advised that FINRA is not seeking assistance or accepting unsolicited resumes from search firms for this employment opportunity. Regardless of past practice, a valid written agreement and task order must be in place before any resumes are submitted to FINRA. All resumes submitted by search firms to any employee at FINRA without a valid written agreement and task order in place will be deemed the sole property of FINRA and no fee will be paid in the event that person is hired by FINRA.

FINRA is an Equal Opportunity and Affirmative Action Employer

All qualified applicants will receive consideration for employment without regard to age, citizenship status, color, disability, marital status, national origin, race, religion, sex, sexual orientation, gender identity, veteran status or any other classification protected by federal state or local laws as appropriate, or upon the protected status of the person’s relatives, friends or associates.

FINRA abides by the requirements of 41 CFR 60-741.5(a). This regulation prohibits discrimination against qualified individuals on the basis of disability, and requires affirmative action by covered prime contractors and subcontractors to employ and advance in employment qualified individuals with disabilities.

FINRA abides by the requirements of 41 CFR 60-300.5(a). This regulation prohibits discrimination against qualified protected veterans, and requires affirmative action by covered prime contractors and subcontractors to employ and advance in employment qualified protected veterans.

©2018 FINRA. All rights reserved. FINRA is a registered trademark of the Financial Industry Regulatory Authority, Inc."
13,New+York,Market Research Analyst,Qi Venture Partners,Nothing_found,Derive insights and draw relevant conclusions from historical data and research. Venture Capital Business Development Associate*....,Qi Venture Partners,"$60,000 - $70,000 a yearVenture Capital Business Development AssociateQi Venture Partners works with companies as a principal to create significant new enterprise value. Our focus is multifaceted and quantitative, solely for the purpose of driving new revenues, developing new opportunities and augmenting current execution. Qi provides the vision, aligns capital, management solutions, strategic partners and infrastructure, all geared toward the goal of substantially enhancing franchise revenue and value.Overview:As a Business Development Associate, you will be responsible for researching, sourcing, and helping to evaluate opportunities for the firm through market research across target verticals, as well as competitive landscape and pipeline development.We’re seeking a hard-working, passionate, and motivated person who can operate in a non-traditional environment and quickly adjust to changing priorities.Duties and Responsibilities:Carry out in-depth company and industry market research for businesses and verticals and provide insight to the firm’s top management.Derive insights and draw relevant conclusions from historical data and research.Support due diligence for potential new opportunities through detailed market research and analysis, as well as review of technology and financial modeling if required.Preparing internal reportsAssist with special projects on an as-needed basis.Requirements: We are looking for high-quality, friendly, and outgoing candidates with the following characteristics and minimum requirements:1-2years of relevant professional work experience.Bachelor’s degree in Finance or Economics (or other related majors) from a top university preferredHighly motivated self-starter with a strong work ethic and entrepreneurial drive.A desire to take ownership of their work product.Ability to clearly and concisely communicate key ideas, both verbally and in writing.A fast learner with strong critical thinking and problem-solving skillsExcellent written and verbal communication skills.Strong research skills and an interest in conducting research.Strong numerical and analytical skills.Understand the importance of confidentiality and discretion.Ability to thrive in a high-pressure environment with quick deadlines and topical pivots.A history of high achievement, as demonstrated through academic performance and previous work preferred.Passion for entrepreneurship and/or technology and driven by new challenges.An understanding of statistics and probability preferredAn understanding of financial modeling preferredJob Type: Full-timeSalary: $60,000.00 to $70,000.00 /yearExperience:financial modeling: 1 year (Preferred)market research: 1 year (Preferred)Education:Bachelor's (Preferred)"
14,New+York,Data Scientist,Pointman,Nothing_found,"Data Scientist Responsibilities*. These are the requirements our Data Scientist must have:. As a Data Scientist, you'll be working closely with our Success...","Pointman


6 reviews","$65,000 - $75,000 a yearPointman provides business solutions for frictionless operations management and growth for residential HVAC, plumbing and electrical contractors. We provide this service through a system we call PACT. Pointman PACT members receive dedicated support for managing their business by providing four elements of support: Process, Analytics, Community, and Technology.We're looking for a Data Scientist with a passion for conducting the statistical analyses necessary to diagnose and direct the business activities of Pointman PACT members.As a Data Scientist, you'll be working closely with our Success Coaches, marketing and sales teams, and PACT members to ensure that we deliver the highest quality directives based on our member's business data. This role is vital to the success of every PACT member we provide services and support to. The Data Scientist will establish our Analytics team and launch our effort to build a data-centric culture.Pointman wants to create an in-house analytics team that leverages industry and member-driven data to empower business decisions and deliver critical insights, metrics, and tools that continually improve upon our ability to provide actionable guidance to our members. We want to answer questions like:What business decisions drive the best outcomes?Why do users conduct activities in a particular sequence and does it matter?What underlying trends exist that will impact the industry in the next 12-36 months?Is there a clear set of behaviors that make a company great?What drives member engagement?and of course...What's next?We're on a mission to build a world where people love their contractors! If you have the skills and passion for providing data analysis to drive that mission, then we want you to be our next Data Scientist!Data Scientist ResponsibilitiesDevelop a comprehensive understanding of Pointman data structures and metricsResearch and develop analysis, forecasting, and optimization methods to improve the quality of Pointman productWork with large and complex data sets to solve difficult, non-routine analysis problems, applying advanced analytical methods as needed.Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, producing and presenting ongoing deliverables.Build and prototype analysis pipelines to provide statistical insights at scaleDevelop compelling visual displays of quantitative analytics for client facing presentationMake business recommendations (e.g. cost-benefit, forecasting, experiment analysis, etc) through effective presentations of findings to multiple levels of stakeholdersWork closely with our engineers to design, assess, and identify opportunities for improvements to Pointman productsAdvocate for changes as needed for both product development and sales activityThese are the requirements our Data Scientist must have: A Bachelor's degree in statistics, data management, quantitative analysis, or related field; Advanced degree strongly preferred5+ years of experience with database management, operations, and statistical analysisDemonstrated proficiency in one or more statistical analysis tools such as Tableau, MATLAB, Stata, Alteryx, or similarDedication to ethical reporting of business and financial dataProven ability to work independently and manage multiple tasks efficiently and effectivelyAn interest in working as a member of a dynamic team of engineers, analysts, and advisorsGenuine care and concern for the welfare of our members and their customersWhy Pointman?Nothing feels better than knowing you’ve been a part of something meaningful for our members, for their families, and for their clients. When we’re at our best, we help change the lives and livelihood for some of the hardest working people in the country.Pointman believes that Main Street business and entrepreneurs are the heartbeatof our economy. Having started and run several service businesses ourselves, understanding the risks and rewards of succeeding in small business is part of our DNA here at Pointman. Working here is about helping others “make it.” It’s not just about building apps and going paperless; it’s about being part of a movement to help Main Street succeed again. It’s about standing up for the underdog. It’s about having the courage to put yourself out there to say, “I’m here to help” and then delivering on that promise.As we grow our team, it’s essential that our why resonates with you. At times, we’ll ask a lot of you, and it’s important to know why we do what we do. We also believe firmly in taking good care of our people. We believe in healthy work-life balance and in creating an environment that allows everyone to achieve autonomy, mastery, and purpose in their roles here at Pointman.Our offices are in the Brisbane Building in the heart of downtown Buffalo, and we offer some of the best perks in town, including:near unlimited snacks and drinks in our huge kitchena small office gym (w/ showers and lockers)lots of unique working, relaxing, eating, and creative spaceslots of amazingly cool and hardworking peopleteam outings, happy hours, and moreIn addition to competitive salary, Pointman offers paid vacation and personal time, generous parental leave policy, access to healthcare, dental, and visioncoverage for employees and their families, retirement account (401K) with employer matching, and MORE.If you're interested in becoming a member of the Pointman team and think you'd be a good fit for the Data Scientist position, we look forward to reviewing your application!Job Type: Full-timeSalary: $65,000.00 to $75,000.00 /yearExperience:database management, operations, and statistical analysis: 5 years (Preferred)Education:Bachelor's (Required)Location:Buffalo, NY 14203 (Required)"
15,New+York,Data Scientist/Data Science Instructor,NYC Data Science Academy,Nothing_found,"Instructors have the opportunity of taking part in corporate training and consulting projects, building both data science and big data solutions....","NYC Data Science Academy


13 reviews","Part-time, Temporary, ContractAbout UsJust as the field of Data Science is growing and ever-changing, so too is our team: we’re on the hunt for instructors who are passionate about what they do and want to make a difference in the education of the world’s up-and-coming data scientists — our students.The NYC Data Science Academy prides itself on housing the most comprehensive 12-week intensive bootcamp in data science methodologies, providing theoretical, practical, and hands-on knowledge to our scholars. We adapt faster than the quickest machine learning algorithms out there — with content that reflects research and application in the growing market and teaching expertise that is beyond ordinary.That’s where you come in.From our part-time weekend/evening classes, to our full-time boot camp, our courses are both designed in-house and taught by our robust team of data scientists and engineers. Instructors have the opportunity of taking part in corporate training and consulting projects, building both data science and big data solutions. We encourage collaboration and positive change in not only our students and clients but also in our team. Nerding out is also highly encouraged.ResponsibilitiesDevelop, evaluate, deliver, and maintain superb content on the cutting-edge of technology for training experiences relevant to audiences with a diverse set of backgrounds.Participate in planned tailoring of teaching content for both corporate and client audiences.Provide feedback to product and content development teams.Stand as an instructional mentor for students of all levels.About YouMinimum of a Master’s Degree in a Science, Technology, Engineering, or Mathematics-related field; Computer Science and Statistics preferred.Proficiency in statistical computing and/or programming in R and/or Python.Taught undergraduate or graduate level coursework in STEM, required.Demonstrated knowledge of Statistics and Machine Learning from both a theoretical and applied perspective.Experience in developing a curriculum or providing training in a client-facing endeavor.PerksCompetitive salary, adjustable hours, and flexible vacation policy.Opportunity to train, research, and learn in the field of data science on-the-job; chance to interact with active data science communities through conferences, Meetup events, etc.Completely stocked snack pantry.High-quality computational equipment.Job Types: Full-time, Part-time, Temporary, ContractExperience:Machine Learning: 1 year (Preferred)Python: 1 year (Preferred)R: 1 year (Preferred)Education:Master's (Preferred)Working days:MondayTuesdayWednesdayThursdayFridaySaturdaySundayBenefits offered:Paid time offParental leaveHealth insuranceDental insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsOther types of insuranceRetirement benefits or accountsEducation assistance or tuition reimbursementChild Care benefitsEmployee discountsFlexible schedulesWorkplace perks such as food/coffee and flexible work schedulesContract Length:VariesMore than 1 year5 - 6 monthsEmployment Length:Varies4 - 6 months"
16,Chicago,Data Scientist,Equity Residential,Nothing_found,"As a Data Scientist, you'll join a growing team of data scientists and engineers, reporting into EQR’s Investments organization but working across multiple...","Equity Residential


373 reviews","Working for Equity Residential (EQR), a leading multi-family real estate investment trust (REIT), means being part of a community and striving to provide the best in apartment living, speaking boldly about new ideas for innovation, and inspiring creativity in the ways we work together. Our portfolio of high-quality properties in urban growth markets – New York City, Boston, Washington DC, Seattle, San Francisco and Los Angeles – provides homes where people most want to live, work and play. We've got the best people in the business, and our experience shows in our dedication to our residents and in how much we value each other as colleagues. That’s why our employees say they are proud to work at Equity, a company that gives our residents a place where they can Live Remarkably, and offers a culture where our employees have the opportunity to make their mark.

As a Data Scientist, you'll join a growing team of data scientists and engineers, reporting into EQR’s Investments organization but working across multiple teams throughout the company. You will be responsible for providing advanced analytic insight and thought leadership to support the needs of EQR’s senior executives and their teams. You will support the ongoing development and maintenance of a data warehouse of relevant internal and external data — from customer and transaction data to macroeconomic factors. You’ll regularly perform both quantitative analysis and primary research, while also synthesizing secondary research on topics of interest, including (but not limited to): economic, demographic, property operations, and technology trends. Each day will be unique, requiring an ability to think strategically and on your feet, be creative, take initiative, and employ a diverse set of skills.

WHO YOU ARE
Knowledgeable, Analytic & Solution-Oriented. Without a doubt, you’ve got strong quantitative skills and are comfortable analyzing large data set, spotting trends and patterns, and synthesizing relevant observations. You use a hypothesis-driven approach to engage in analysis that will deliver on your client questions. You like thinking outside the box to come up with innovative points of view on new challenges, relying on your previous analytic work and experience to help guide you along the way.
Results-Oriented. You demonstrate an inherent sense of urgency to drive great results, while being precise in executing your work. You are facile with creating and communicating a clear project plan, tracking progress, and keeping your business partners in the loop along the way.
Intellectually Curious. You're inherently interested in the ""why"" so that you can identify opportunities that represent unconventional solutions to the problems you are trying to solve.
Strong Communicator. Your writing and speaking skills are concise, articulate, and effective, providing an ability to interact with all levels/various teams across the organization, be understood, and develop trust and rapport within the organization.
Technologically Savvy. Microsoft Excel is a basic tool to you that you know like the back of your hand. You also have a strong skill set in R, Python, ArcGIS, machine learning, neural networks and/or other advanced analytics tools and techniques.
Trusted Team Player. You enjoy partnering with others and build constructive working relationships that foster the collaboration necessary to deliver great results. You are accountable to your teammates and follow through on commitments.
Organized and Confident. You are flexible, composed, and able to prioritize multiple tasks and deadlines simultaneously, while confidently interacting with a variety of individuals, across all levels of the organization. You handle pressure well and do so with confidence.
WHAT YOU’LL DO
Undertake data-centric projects and experiments across the company by leveraging one of the most comprehensive databases of apartment operations on the planet, combined with strategically sourced data from third parties.
Proactively understand and respond to the specific analytic needs and requests of Equity stakeholders, including but not limited to: investments, finance, operations, property management, IT, legal and HR.
Utilize a hypothesis-driven approach, as well as both quantitative and qualitative primary research methods, to engage in analysis and develop soundly reasoned conclusions that identify or explain demographic, social and other trends, underlying needs, and preferences of existing and potential residents, and any other forces impacting the business.
Critically evaluate research questions by formulating hypotheses and work plans (data sources, timing, resources, collaborators, output etc.)
Prepare narratives, briefs, and more formal reports that concisely communicate relevant findings and conclusions in a timely manner, while providing transparency into the methods used. Perform critical self-reviews of work with exceptional attention to detail (content, logic and presentation/communication quality) before delivering completed research.
Establish and maintain regular, responsive, and timely communications with internal business partners to meet the internal long-range research/consulting objectives and respond to all internal data analytics needs and requests.
Develop and maintain relationships with appropriate third party market research providers and constantly evaluate quality to recommend changes where appropriate.
PREVIOUS EXPERIENCE & REQUIREMENTS
1-2 years previous work experience. Industry experience in real estate, retail, transportation is a plus, as well geospatial analytics and/or consulting. Solid understanding of economic, financial, and general business concepts and terminology is required.
Masters degree or PhD in a quantitative field (e.g., Economics, Computer Science, Physics, Mathematics, Engineering, etc.) or equivalent experience is required.
Familiarity with open-source scripting languages (e.g., R, Python, ArcGIS, SQL, PostGIS, Hadoop, etc.) is necessary, as well as a comfort level with a variety of machine learning approaches (e.g., regression, decision trees, clustering, neural networks, etc.).
Strong people skills with both a client and team-orientation.
Demonstrated strong communication skills, both written and verbal, as well as listening. Must have experience probing for needs, providing an intellectual counterparty (e.g. devil’s advocate, challenge status quo, etc.) in a constructive manner, and communicating technical content in a concise and easy to understand way. Must also be articulate and have experience in presenting information and findings.
Excellent problem-solving and quantitative skills, including the ability to disaggregate issues, identify root causes, and recommend plausible solutions.
Ability to utilize, create, and analyze GIS and other location-based data and analysis, a plus.
Ability to prototype apps and visualizations a plus.
Tolerance for ambiguity required.
Must be available for overnight travel (approximately 10%) to any of Equity’s major core markets, as required.
REWARDS

We recognize everyone has different needs outside of work. That’s why, in addition to a competitive benefits package (medical, dental, vision and paid time off), we offer many unique benefits options to employees, like pet insurance and paid time off for community service projects. To learn more, view our Total Wellbeing page here."
27,Chicago,Quality Assurance Auditor,IIT Research Institute,Nothing_found,"The incumbent will interact with study scientists, technical staff, study sponsors and other auditors in a professional manner....","IIT Research Institute


651 reviews","We are currently seeking an individual who can work independently in a detailed fashion to join our Quality Assurance team. This position is responsible for performing audits and reviews of study protocols, laboratory procedures, study data, facilities, and reports to determine the level of compliance with internal standard operating procedures and applicable FDA and EPA regulations and standards. The candidate must have a scientific background and the ability to provide a consistent and methodic review of study data and reports. Strong communication skills are necessary to disseminate audit findings to study directors and management. The incumbent will interact with study scientists, technical staff, study sponsors and other auditors in a professional manner.We require a bachelor’s degree in a scientific discipline with a minimum of 1 year of relevant experience in a laboratory environment. The candidate should have exceptional interpersonal skills along with excellent written and verbal communication skills. Appropriate quality certification(s) ( SQA RQAP-GLP or ASQ CQA) is a plus.We offer a competitive salary based on education and experience along with comprehensive benefits including full tuition remission at Illinois Institute of Technology.Local candidates strongly preferred; no relocation is available for these positions.Job Type: Full-timeExperience:in a lab environment: 1 year (Required)Education:Bachelor's (Required)Work authorization:United States (Required)Benefits offered:Paid time offHealth insuranceDental insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsOther types of insuranceEducation assistance or tuition reimbursementRetirement benefits or accounts"
28,Chicago,Media Research Analyst,SE10,Nothing_found,"SE10, leading international public relations and communications firm with offices in Chicago, is seeking a highly motivated, detail-oriented media research...",SE10,"$40,000 - $50,000 a yearSE10, leading international public relations and communications firm with offices in Chicago, is seeking a highly motivated, detail-oriented media research analyst with a demonstrated passion for leveraging complex information to improve business outcomes for clients. The Research Analyst will be charged with monitoring earned and social media, analyze coverage and create comprehensive media monitoring and analysis reports for consumption by clients. In addition, the Research Analyst will be required to provide new thinking for program recommendations based on that research. A strong candidate will be capable of using standard media monitoring and analyst tools, such as Cision and Meltwater. A candidate should also be able to derive strategic observations and recommendations for earned and social media programs for clients.Essential Job Functions/ActivitiesDevelop custom monitoring, analysis, and reporting that improve online earned and social media campaign performance.Manage the creation of client reports that are effective and helps client teams and clients make informed recommendations to improve programming.Act as a resource and support group to client teams to advise them on how to use media research in programming and to deliver to clientsJob RequirementsBachelor’s degree in a quantitative field (computer science, statistics or related.)3+ years of relevant job experienceProficient with media monitoring and social media monitoring tools, including Cision, Meltwater, and web analytics toolsStrong analytic and modeling skills, proficient at conceptualizing and implementing solutions to business problems.Demonstrated ability to improve performance by deriving actionable insight from complex datasetsStrong communication skills and desire to work in cross-functional groups; strong writing skills desired.Job Type: Full-timeSalary: $40,000.00 to $50,000.00 /yearExperience:Research: 3 years (Preferred)Education:Bachelor's (Preferred)Location:Chicago, IL (Preferred)Work authorization:United States (Preferred)"
29,Chicago,Data Scientist,ISMIE Mutual Insurance Company,Nothing_found,Ability to analyze complex data and information; Assist internal and external actuaries in data preparation and analysis....,ISMIE Mutual Insurance Company,"Job Purpose: Analyze statistical data effecting ISMIE’s Operations including Claims, Underwriting, Risk Management, and Reinsurance.Essential Duties and Responsibilities: Evaluate through objective statistical analyses, effectiveness of various programs and report results to Senior Management.Performs and prepares analytical tasks on vast amounts of structured and unstructured data to extract actionable business insights.Prepare statistical analyses of claim and underwriting data for use in discussions with reinsurers and reinsurance brokers.Develops algorithms using advanced mathematical and statistical techniques like machine learning to predict business outcomes and recommend optimal actions to management.Prepare statistical analyses requested by various departments.Assist internal and external actuaries in data preparation and analysis.Manage the development of methodology and protocol for the ongoing use of data to monitor all aspects of operations of ISMIE.Provide quality service in all areas of responsibility.Additional duties and responsibilities as required.Required Education, Skills, and Experience for this position: A Bachelor’s degree in economics, mathematics, or statistics. Minimum of two (2) year’s experience in insurance or financial related field. Excellent oral and written communication skills with professional, service-oriented demeanor required. Advanced level knowledge of Microsoft Excel along with working knowledge of SQL, Python, R. Must have strong analytical and problem solving skills.Essential Physical Requirements of Position: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.Ability to travel by motor vehicle or airline when necessary;Close visual acuity to read extensive amounts of written information in a standard font for an extended period of time;Ability to view and read from computer screens, telephone screens and printed materials;Ability to receive detailed information through oral communication;Ability to communicate verbally, convey and express complex and detailed ideas, information and instructions to others clearly, accurately, and effectively in person and via telephone;Ability to operate a keyboard, computer and computing device;Ability to analyze complex data and information;Ability to lead and participate in presentations and meetings;Ability to move about to accomplish tasks, attend meetings and scheduled events both inside the office and outside the office.Job Type: Full-timeExperience:Machine Learning: 2 years (Preferred)Excel: 3 years (Required)Python: 2 years (Preferred)SQL: 2 years (Preferred)R: 2 years (Preferred)"
30,Chicago,Data Engineer,Request Technology,Nothing_found,Build and maintain a robust data collection system that reaches across multiple sources and data marts. Ability to demonstrate excellent organization and...,Request Technology,"$90,000 - $130,000 a yearOverview
***We are unable to sponsor as this is a permanent full time role***

A prestigious company is on the search for a Spark Engineer. This individual needs to have 5+ years of Cloud data infrastructure. They also need to have 5+ years of experience with hands on design and coding in Spark/Scala. They also need experience with using Kafka and AWS.

Responsibilities:
Create and manage a scalable ETL pipeline usable by anyone (engineers, data scientists) for a variety of purposes (analytics, dashboards, visualizations, machine learning) including infrastructure and abstractions.
Propose services, frameworks, and other capabilities that you predict will be a necessity in the future
Build and maintain a robust data collection system that reaches across multiple sources and data marts
Monitor and tune existing infrastructure in close collaboration with the ops team

Required Qualifications:
5+ years of experience in Cloud Data Infrastructure
5+ years of experience with hands on design and coding in Spark/Scala
5+ years of experience in MongoDB
3+ years of experience in data streaming using Kafka
3+ years of experience AWS
Experience in designing and scaling data infrastructure, models, and pipelines
Expertise in RDD, In-Memory computation in Spark, Fault Tolerance in Spark, Real-Time stream processing

Skills and Abilities:
Experience deploying Cloud environments
Competence in integrating systems through APIs
Excellent technical troubleshooting skills
Ability to demonstrate excellent organization and communication skills to successfully build and maintain relationships with designers, engineers, and data scientists


IND123

If you would like to apply to this role please send your resume to: dgrooss@requesttechnology.com

Tagged as: ind123"
