,City,Title,Company,Location,Description,Salary
0,New+York,Nothing_found,Nothing_found,Nothing_found,Nothing_found,
1,New+York,Data Scientist/Data Science Instructor,NYC Data Science Academy,Nothing_found,"Instructors have the opportunity of taking part in corporate training and consulting projects, building both data science and big data solutions....","NYC Data Science Academy


13 reviews"
2,New+York,Data Scientist,Pointman,Nothing_found,"Data Scientist Responsibilities*. These are the requirements our Data Scientist must have:. As a Data Scientist, you'll be working closely with our Success...","Pointman


6 reviews"
3,New+York,Data Scientist,Ascensia Diabetes Care,Nothing_found,"Experience in and understanding of data and information management, especially in Big Data trends. Responsibilities include analyses of various data streams,...","Ascensia Diabetes Care


30 reviews"
4,New+York,Data Analyst - Computer Vision,eBay Inc.,"New York, NY","You will be working with Data scientists, Data engineers and Software Engineers in a team which includes creating new AI/ML models, deploying those models into...",Nothing_found
5,New+York,"Data Scientist, CHOICE",VISITING NURSE SERVICE OF NEW YORK,"Manhattan, NY",We are looking for an ambitious data scientist to join our expanding team. Ability to effectively communicate results of complex data analysis to non...,Nothing_found
6,New+York,Data Scientist,Komodo Health,"New York, NY","Experience working with proprietary secondary data including medical / pharmacy claims, prescription data, sales data, and longitudinal patient-level data....",Nothing_found
7,New+York,Data Discovery Associate,"Two Sigma Investments, LLC.","New York, NY","You will work closely with data scientists, engineers and business partners across the company and your contributions will directly influence, enable and expand...",Nothing_found
8,New+York,DATA AND REPORTING SPECIALIST,New York City HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY",The Office of Program Accountability is recruiting for one (1) City Research Scientist III to function as Data & Reporting Specialist who will:....,Nothing_found
9,New+York,"Data Scientist, Division Management & Systems Coordination",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","Conduct extensive data cleaning and statistical analyses of large or complex data sets (e.g., surveillance, administrative, clinical, survey) using open-source...",Nothing_found
10,New+York,Data Scientist - Research and Analytics Department (REF# EXEC_DAT_NYC_6098),New York State Office of the Attorney General (OAG...,"New York, NY",Data Scientist – New York City*. The Data Scientist will be primarily responsible for:. Exploring and analyzing data....,Nothing_found
11,New+York,Data Strategy/Machine Learning BA,Credit Suisse,"New York, NY 10022 (Midtown area)","Data Strategy/Machine Learning BA #115823. As a kick-off assignment, the successful candidate will perform analyses of the existing transaction data models and...",Nothing_found
12,New+York,Institutional Research Analyst,University of the People,"New York, NY","Performs periodic and ad hoc data collection and reporting of student, course, and program level data to support stakeholder decision making....",Nothing_found
13,New+York,Chief Data Scientist,Moda Operandi,"New York, NY 10013 (Tribeca area)",Grow and mentor a world-class team of data scientists and analytics professionals. Drive the technical direction for personalization and other machine learning...,Nothing_found
14,New+York,"Staff Data Scientist - Technology - New York, NY",Finra,Nothing_found,Collaborate with Data Engineers to specify Data Framework features. A Staff Data Scientist for Market Regulation Technology will support the establishment of...,"Finra


87 reviews"
15,New+York,Market Research Analyst,Qi Venture Partners,Nothing_found,Derive insights and draw relevant conclusions from historical data and research. Venture Capital Business Development Associate*....,Qi Venture Partners
16,Chicago,Quantitative Research Analyst,Sylver Consulting,"Evanston, IL","The Research Lead must have the skill, knowhow and ability to successfully and efficiently manage and execute innovation research and strategic projects. We’d...",Nothing_found
17,Chicago,Data Scientist,Equity Residential,Nothing_found,"As a Data Scientist, you'll join a growing team of data scientists and engineers, reporting into EQR’s Investments organization but working across multiple...","Equity Residential


373 reviews"
18,Chicago,Data Engineer,Request Technology,Nothing_found,Build and maintain a robust data collection system that reaches across multiple sources and data marts. Ability to demonstrate excellent organization and...,Request Technology
19,Chicago,Senior Data Scientist,"SMS Assist, LLC",Nothing_found,"Experience with data visualization tools and presenting data to stakeholders. Keep pulse of the latest development in AI/ML, big data, and the tools and...","SMS Assist, LLC


38 reviews"
20,Chicago,"Scientist, R&D - Packaging Development",Kraft Heinz Company,"Glenview, IL","This includes basic understanding of the business need, designing and executing tests, analyzing data, drawing conclusions, documenting, communicating results,...",Nothing_found
21,Chicago,Lab Research Tech 1 - Rush Psychiatry Research Administration,Rush University Medical Center,"Chicago, IL",Use computer software to collect and analyze experimental data. This position in the laboratory research is responsible for helping basic science and/or...,Nothing_found
22,Chicago,Research Associate - Healthcare Delivery Science & Innovation,UChicago Medicine,"Chicago, IL","Ability to access, manage, analyze, interpret, and present data. This position will aid in facilitation of HDSI research initiatives by supporting all aspects...",Nothing_found
23,Chicago,"Analytics, Machine Learning Data Scientist - Advisor",CVS Health,"Northbrook, IL",The successful Data Scientist will translate business needs into analytic questions; The newly established Machine Learning and Data Science team is an...,Nothing_found
24,Chicago,Senior Data Scientist-XSP,Deloitte,"Chicago, IL 60606 (Loop area)","Senior Data Scientist-XSP. As a Senior Data Scientist-XSP, you will be tasked with solving data problems end to end....",Nothing_found
25,Chicago,Environmental Scientist/Engineer Intern (Summer 2019),Tetra Tech,"Chicago, IL","Specific tasks would include data management and organization, data analysis, and report writing and compilation....",Nothing_found
26,Chicago,Applications Scientist - Materials Science,The Cambridge Crystallographic Data Centre,"Chicago, IL","The CCDC is seeking a Materials Science Applications Scientist to join our team in the US, to support our growing user community in North America....",Nothing_found
27,Chicago,AI Senior Data Scientist (PS14842),"Anthem, Inc.","Chicago, IL 60654 (Loop area)",Work with data-sets of varying degrees of size and complexity including both structured and unstructured data....,Nothing_found
28,Chicago,"Data Scientist, Applied Machine Learning",Tempus,"Chicago, IL 60654 (Loop area)","We are looking for data scientists who are passionate about applying state of the art techniques to the processing and analysis of vast amounts of clinical,...",Nothing_found
29,Chicago,Data Analysis and Development Internship- Summer,CME Group,Nothing_found,Data Analysis and Development Internship – Summer 2019. CME Group is the world's leading and most diverse derivatives marketplace....,"CME Group


198 reviews"
30,Chicago,Data Scientist,ISMIE Mutual Insurance Company,Nothing_found,Ability to analyze complex data and information; Assist internal and external actuaries in data preparation and analysis....,ISMIE Mutual Insurance Company
31,San+Francisco,Director of Data and Analytics,Instapage,Nothing_found,"Work with data engineers to build a data pipeline, ETL processes and data warehouse infrastructure to ensure all departments are able to use data with ease and...","Instapage


18 reviews"
32,San+Francisco,Senior Data Scientist,Zeus,"San Francisco, CA",6+ years of data science experience. Build data products for our website (e.g. Demonstrated ability to lead and complete data science projects....,Nothing_found
33,San+Francisco,"Data Scientist, Marketing",Asana,"San Francisco, CA 94103 (South Of Market area)",Collaborate with other Data Scientists to bring marketing and product behavioral data together to provide deep insight into the potential customer's journey...,Nothing_found
34,San+Francisco,Technology Research Intern,Proteus Digital Health,"Redwood City, CA 94065","And data analytics to serve the needs of health system managers. Come to join our unique collection of innovative scientists, engineers, market makers,...",Nothing_found
35,San+Francisco,Data Scientist,Brightidea,"San Francisco, CA 94107 (South Of Market area)","Data visualization (e.g. From data preprocessing, to building/training various models, to hyperparameter optimization, testing, and visualization of results....",Nothing_found
36,San+Francisco,Summer 2019-Data Science Internship: International,Walmart eCommerce,"San Bruno, CA 94066",A Data Scientist is responsible for analyzing large data sets to develop and train custom models and algorithms to drive business solutions....,Nothing_found
37,San+Francisco,Cloud Data Scientist,Wire Stone,"San Francisco, CA","You will have an opportunity to work in roles such as Data Scientist, Data Engineer, or Chief Data Officer covering all aspects of Data including Data...",Nothing_found
38,San+Francisco,2019 PhD Data Scientist Internship - Maps,Uber,"San Francisco, CA 94103 (South Of Market area)","To power these services, Uber Maps also generates base map data (the road map definition and features) and point of interest data (such as restaurants or hotels...",Nothing_found
